businessZones,companyFullName,companyId,companyShortName,companySize,createTime,district,education,financeStage,industryField,positionName,salary
"['珞南', '街道口']",武汉镝次元数据科技有限公司,113404,武汉镝次元,15-50人,2019-09-20 16:13:30,洪山区,本科,天使轮,"数据服务,移动互联网",微信开发工程师,8k-15k
,北京锦益网络科技有限公司,425664,北京锦益网络科技有限公司,150-500人,2019-09-20 15:17:20,东湖新技术开发区,不限,B轮,"消费生活,电商",大数据开发工程师,12k-20k
"['鲁巷', '关山', '光谷']",武汉轻氧科技有限公司,228537,轻氧科技,150-500人,2019-09-20 19:14:00,洪山区,本科,A轮,移动互联网,数据开发工程师,10k-15k
['流芳'],北京小米科技有限责任公司,520,小米,2000人以上,2019-09-17 16:07:29,江夏区,本科,D轮及以上,硬件,大数据开发工程师,15k-30k
,武汉极意网络科技有限公司,7682,极验,50-150人,2019-09-20 18:19:27,东湖新技术开发区,大专,B轮,"信息安全,数据服务",前端开发工程师,10k-20k
['流芳'],武汉小果科技有限公司,28807,森果,50-150人,2019-09-20 09:11:32,江夏区,本科,天使轮,"移动互联网,企业服务",Web后端开发工程师,8k-16k
,北京字节跳动科技有限公司,62,字节跳动,2000人以上,2019-09-22 06:30:18,武昌区,本科,C轮,文娱丨内容,资深后台开发工程师,20k-40k
"['关山', '光谷']",深圳比特屋网络有限公司,349229,时光小屋,15-50人,2019-09-20 19:44:07,洪山区,本科,B轮,移动互联网,后端开发工程师,10k-20k
,北京字节跳动科技有限公司,62,字节跳动,2000人以上,2019-09-22 06:32:30,洪山区,本科,C轮,文娱丨内容,后端研发工程师,15k-30k
,武汉极意网络科技有限公司,7682,极验,50-150人,2019-09-20 18:19:27,东湖新技术开发区,本科,B轮,"信息安全,数据服务",测试开发工程师,12k-18k
,易智瑞（中国）信息技术有限公司,33854,Esri 中国,150-500人,2019-09-20 16:13:38,武昌区,本科,未融资,"企业服务,数据服务",web前端开发工程师,12k-20k
"['光谷', '关山']",北京神州绿盟信息安全科技股份有限公司,30648,绿盟科技,500-2000人,2019-09-16 10:00:29,洪山区,本科,上市公司,信息安全,大数据开发工程师,15k-25k
,北京字节跳动科技有限公司,62,字节跳动,2000人以上,2019-09-22 06:43:08,洪山区,本科,C轮,文娱丨内容,后端开发工程师-效率工程,20k-40k
,行吟信息科技（上海）有限公司,6542,小红书,500-2000人,2019-09-19 15:53:43,东湖新技术开发区,不限,D轮及以上,消费生活,资深工程效率开发,20k-40k
"['关山', '光谷']",北京金山办公软件股份有限公司,7835,金山办公软件,2000人以上,2019-09-17 09:08:01,洪山区,本科,上市公司,移动互联网,服务端开发工程师,15k-30k
