businessZones,companyFullName,companyId,companyShortName,companySize,createTime,district,education,financeStage,industryField,positionName,salary
['宁南'],南京转换宝网络科技有限公司,223084,一数一叶,50-150人,2019-09-20 18:04:44,雨花台区,本科,A轮,"移动互联网,广告营销",技术经理,20k-30k
['宁南'],众能联合数字技术有限公司,407149,众能联合,500-2000人,2019-09-21 10:15:56,雨花台区,本科,B轮,"移动互联网,企业服务",BI高级研发工程师,18k-25k
,北京凌云雀科技有限公司,31395,灵雀云,150-500人,2019-09-17 10:44:11,建邺区,本科,B轮,"数据服务,企业服务",后端开发工程师（南京）,15k-30k
,北京字节跳动科技有限公司,62,字节跳动,2000人以上,2019-09-22 06:49:03,建邺区,本科,C轮,文娱丨内容,业务中台服务端（高级）开发工程师,20k-40k
,南京贝湾信息科技有限公司,13789,扇贝,150-500人,2019-09-20 13:40:21,玄武区,不限,B轮,"移动互联网,教育",后端工程师（实习岗）,4k-6k
,北京小米科技有限责任公司,520,小米,2000人以上,2019-09-09 15:04:48,建邺区,本科,D轮及以上,硬件,服务端开发工程师,18k-35k
"['安德门', '铁心桥']",广州希音供应链管理有限公司,492335,SHEIN,2000人以上,2019-09-20 20:01:55,雨花台区,本科,C轮,"电商,移动互联网",运维开发工程师 (MJ001265),15k-30k
"['安德门', '小行']",维沃移动通信有限公司,19875,vivo,2000人以上,2019-09-19 14:32:27,雨花台区,本科,未融资,硬件,集成构建开发工程师(005127),30k-60k
"['宁南', '雨花新村']",杭州腾展科技股份有限公司,24287,腾展科技,50-150人,2019-09-20 15:14:15,雨花台区,本科,上市公司,"移动互联网,社交",高级前端开发工程师（南京）,20k-30k
,南京云信达科技有限公司,516238,云信达,50-150人,2019-09-20 09:14:09,浦口区,本科,A轮,"移动互联网,数据服务",运维开发工程师,12k-24k
,华风象辑（北京）气象科技有限公司,42557,象辑科技,50-150人,2019-09-19 17:20:28,浦口区,本科,B轮,"移动互联网,数据服务",Java工程师（南京）,12k-18k
"['龙江', '江东']",北京墨云科技有限公司,221192,墨云科技,50-150人,2019-09-16 10:35:10,鼓楼区,本科,B轮,信息安全,高级安全研发工程师,20k-35k
['奥体'],安徽华米信息科技有限公司,190042,华米科技,150-500人,2019-09-18 11:30:22,建邺区,本科,上市公司,移动互联网,大数据开发工程师,15k-20k
['尧化'],南京浦和数据有限公司,166659,浦和数据,50-150人,2019-09-20 14:31:16,栖霞区,本科,A轮,数据服务,算法工程师（视觉方向）,10k-20k
,飞友科技有限公司,36272,飞常准,500-2000人,2019-09-20 10:12:07,秦淮区,本科,不需要融资,移动互联网,Unity3D程序开发工程师（南京）,12k-20k
['光华路'],南京网感至察信息科技有限公司,42406,网感至察,15-50人,2019-09-20 11:29:15,秦淮区,本科,天使轮,数据服务,算法工程师,20k-25k
,江苏五星电器有限公司,37018,五星电器,2000人以上,2019-09-21 16:23:43,鼓楼区,不限,不需要融资,"电商,消费生活",系统工程师,10k-15k
['小行'],江苏润和软件股份有限公司,68635,润和软件,2000人以上,2019-09-20 15:41:02,雨花台区,大专,上市公司,移动互联网,android开发工程师,12k-20k
,北京佳格天地科技有限公司,93302,佳格天地,50-150人,2019-09-20 15:18:37,雨花台区,本科,A轮,"移动互联网,数据服务",java开发工程师,14k-22k
,江苏五星电器有限公司,37018,五星电器,2000人以上,2019-09-21 16:23:44,鼓楼区,不限,不需要融资,"电商,消费生活",系统工程师,10k-15k
,北京佳格天地科技有限公司,93302,佳格天地,50-150人,2019-09-22 15:35:29,雨花台区,本科,A轮,"移动互联网,数据服务",技术经理,18k-25k
,北京字节跳动科技有限公司,62,字节跳动,2000人以上,2019-09-22 06:40:24,建邺区,本科,C轮,文娱丨内容,测试开发工程师,20k-40k
['仙林'],梦思特科技（成都）有限公司,133943,梦思特,50-150人,2019-09-20 10:14:38,栖霞区,本科,不需要融资,"移动互联网,游戏",web前端工程师,12k-20k
,中智行科技有限公司,429526,中智行科技有限公司,50-150人,2019-09-20 10:02:55,栖霞区,硕士,天使轮,人工智能,DNN工程师,20k-40k
,北京地平线信息技术有限公司,83580,地平线机器人,500-2000人,2019-09-05 13:43:40,栖霞区,本科,B轮,物联网,语音信号处理开发工程师,15k-30k
"['安德门', '铁心桥']",星环信息科技（上海）有限公司,27962,星环科技,150-500人,2019-09-10 10:03:44,雨花台区,本科,C轮,数据服务,测试开发工程师 (MJ000417),15k-25k
"['中华门', '红花', '秦虹']",智器云南京信息科技有限公司,108111,智器云,50-150人,2019-09-20 08:17:31,秦淮区,本科,B轮,"数据服务,企业服务",高级java开发工程师（研究院）,14k-22k
,亚信科技（中国）有限公司,25322,亚信,2000人以上,2019-09-20 08:51:34,雨花台区,本科,上市公司,"企业服务,移动互联网",web前端开发工程师,13k-18k
,南京安元科技有限公司,8274,安元科技,150-500人,2019-09-19 10:04:46,浦口区,硕士,D轮及以上,移动互联网,算法工程师,4k-6k
,智器云南京信息科技有限公司,108111,智器云,50-150人,2019-09-18 08:55:24,秦淮区,本科,B轮,"数据服务,企业服务",中级JAVA开发工程师,8k-14k
"['铁心桥', '宁南']",江苏艾佳家居用品有限公司,47444,艾佳生活,150-500人,2019-09-17 10:33:15,雨花台区,硕士,B轮,电商,初级算法工程师,15k-30k
['百家湖'],北京中电广通技术服务有限公司,445000,中电广通,50-150人,2019-08-30 10:31:36,江宁区,本科,未融资,移动互联网,Openstack开发工程师,12k-24k
