businessZones,companyFullName,companyId,companyShortName,companySize,createTime,district,education,financeStage,industryField,positionName,salary
"['桐梓林', '紫荆', '桂溪']",易智瑞（中国）信息技术有限公司,33854,Esri 中国,150-500人,2019-09-20 16:13:37,武侯区,本科,未融资,"企业服务,数据服务",C/S软件开发工程师,10k-15k
,成都二十三魔方生物科技有限公司,62218,23魔方,50-150人,2019-09-03 09:48:37,高新区,本科,B轮,"医疗丨健康,数据服务",高级大数据开发工程师,15k-25k
,紫光云技术有限公司,429600,紫光云,500-2000人,2019-09-20 10:42:23,双流县,不限,不需要融资,"移动互联网,数据服务",容器云研发工程师-00431,15k-25k
,成都卓杭网络科技股份有限公司,134300,成都卓杭,150-500人,2019-09-12 13:26:58,高新区,本科,不需要融资,"移动互联网,游戏",U3D开发工程师 (新项目),15k-25k
,成都尼毕鲁科技股份有限公司,6868,tap4fun,500-2000人,2019-09-11 14:55:06,高新区,本科,不需要融资,游戏,SDK开发工程师,15k-30k
,贵州海康交通大数据有限公司,448156,海康交通大数据,50-150人,2019-09-20 18:18:41,双流区,不限,不需要融资,"移动互联网,数据服务",大数据开发工程师,12k-24k
,浙江企朋网络技术股份有限公司,210,企朋,150-500人,2019-09-20 14:30:54,高新区,本科,不需要融资,"移动互联网,电商",后端开发工程师（美洽） (MJ000670),12k-18k
,上海维塔士电脑软件有限公司,26126,维塔士,500-2000人,2019-09-20 17:26:49,青羊区,本科,B轮,游戏,多人游戏 - 后端工程师,10k-15k
,四川元高分网络科技有限公司,127781,元高分,50-150人,2019-09-20 16:07:05,高新区,本科,A轮,"移动互联网,教育",后端工程师,7k-13k
,成都萌想科技有限责任公司,21511,萌想科技,150-500人,2019-09-20 17:01:18,高新区,本科,B轮,企业服务,运维开发工程师,8k-12k
,成都萌想科技有限责任公司,21511,萌想科技,150-500人,2019-09-20 17:01:18,高新区,本科,B轮,企业服务,产研方向前端开发工程师,9k-15k
,杭州才云科技有限公司,85122,Caicloud,50-150人,2019-09-19 14:58:49,高新区,本科,B轮,"企业服务,数据服务",云开源工程师-成都-00078,10k-20k
,四川千行你我科技有限公司,89111,千行集团,150-500人,2019-09-20 17:48:09,高新区,不限,D轮及以上,"移动互联网,电商",java高级工程师,11k-20k
,成都数字天空科技有限公司,13905,成都数字天空科技有限公司,500-2000人,2019-09-20 15:31:00,武侯区,本科,不需要融资,游戏,算法工程师,10k-20k
